"lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","왁스ㆍ젤ㆍ무스","WaxㆍGelㆍMousse","sku_category_134"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","워시오프팩","Wash-Off Pack","sku_category_133"
"메이크업","Makeup","네일","Nail","일반 폴리쉬","Manicure","sku_category_132"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","입욕제","Bath Products","sku_category_131"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","제모용품","Hair Removal","sku_category_130"
"메이크업","Makeup","네일","Nail","젤 폴리쉬","Gel Polish","sku_category_128"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","청결제","Feminine Wash","sku_category_127"
"메이크업","Makeup","베이스 메이크업","Base Makeup","컨실러","Concealer","sku_category_126"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","코팩","Nose Pack","sku_category_124"
"메이크업","Makeup","베이스 메이크업","Base Makeup","쿠션","Cushion","sku_category_123"
"메이크업","Makeup","네일","Nail","큐티클관리ㆍ리무버","CuticleㆍNail Remover","sku_category_122"
"스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","크림","Cream","sku_category_121"
"스킨케어","Skincare","멘즈케어","Men","크림(멘즈)","Cream(Men)","sku_category_120"
"스킨케어","Skincare","클렌징","Cleansing","클렌징 세트","Cleansing Set","sku_category_119"
"스킨케어","Skincare","클렌징","Cleansing","클렌징 오일ㆍ밤","Cleansing OilㆍBalm","sku_category_118"
"스킨케어","Skincare","클렌징","Cleansing","클렌징 크림ㆍ밀크","Cleansing CreamㆍMilk","sku_category_117"
"스킨케어","Skincare","클렌징","Cleansing","클렌징 티슈ㆍ패드","Cleansing TissueㆍPad","sku_category_116"
"스킨케어","Skincare","멘즈케어","Men","클렌징(멘즈)","Cleansing(Men)","sku_category_115"
"스킨케어","Skincare","클렌징","Cleansing","클렌징비누","Cleansing Soap","sku_category_113"
"스킨케어","Skincare","클렌징","Cleansing","클렌징워터","Cleansing Water","sku_category_111"
"스킨케어","Skincare","클렌징","Cleansing","클렌징젤","Cleansing Gel","sku_category_110"
"스킨케어","Skincare","클렌징","Cleansing","클렌징파우더","Cleansing Powder","sku_category_107"
"스킨케어","Skincare","클렌징","Cleansing","클렌징폼ㆍ젤","Cleansing FoamㆍGel","sku_category_105"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","탈모케어ㆍ두피케어","Hair LossㆍScalp Care","sku_category_104"
"스킨케어","Skincare","선케어","Suncare","태닝","Tanning","sku_category_103"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","토너패드","Toner Pad","sku_category_102"
"메이크업","Makeup","베이스 메이크업","Base Makeup","톤업크림","Tone-Up Cream","sku_category_101"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","트리트먼트","Treatment","sku_category_38"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","파마","Perm","sku_category_36"
"메이크업","Makeup","베이스 메이크업","Base Makeup","파우더ㆍ팩트","PowderㆍPact","sku_category_35"
"메이크업","Makeup","베이스 메이크업","Base Makeup","파운데이션","Foundation","sku_category_34"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","패치","Patch","sku_category_33"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","팩 세트","MaskㆍPack Set","sku_category_32"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","퍼퓸바디미스트","Perfumed Body Mist","sku_category_31"
"스킨케어","Skincare","클렌징","Cleansing","페이스스크럽","Face Scrub","sku_category_30"
"스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","페이스오일","Face Oil","sku_category_29"
"스킨케어","Skincare","멘즈케어","Men","폼ㆍ젤ㆍ오일ㆍ크림(멘즈)","FoamㆍGelㆍOilㆍCream(Men)","sku_category_28"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","풋케어","Footcare","sku_category_27"
"메이크업","Makeup","베이스 메이크업","Base Makeup","프라이머ㆍ베이스","PrimerㆍMakeup Base","sku_category_25"
"메이크업","Makeup","베이스 메이크업","Base Makeup","픽서","Fixer","sku_category_24"
"스킨케어","Skincare","클렌징","Cleansing","필링ㆍ스크럽","PeelingㆍScrub","sku_category_23"
"스킨케어","Skincare","멘즈케어","Men","필링ㆍ스크럽(멘즈)","PeelingㆍScrub(Men)","sku_category_22"
"스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","필오프팩","Peel-Off Pack","sku_category_21"
"메이크업","Makeup","베이스 메이크업","Base Makeup","하이라이터ㆍ쉐이딩","HighlighterㆍShading","sku_category_19"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드마스크ㆍ세니타이저","Hand MaskㆍSanitizer","sku_category_18"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드선물 세트","Handcare Set","sku_category_17"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드워시","Hand Wash","sku_category_16"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","핸드크림","Hand Cream","sku_category_15"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","향수 세트","Perfume Set","sku_category_14"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어메이크업","Hair Makeup","sku_category_13"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어무스ㆍ스프레이","Hair MousseㆍSpray","sku_category_12"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어에센스ㆍ미스트","Hair EssenceㆍMist","sku_category_11"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어왁스","Hair Wax","sku_category_10"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어워터","Hair Water","sku_category_9"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어젤","Hair Gel","sku_category_8"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어팩ㆍ마스크","Hair PackㆍMask","sku_category_6"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","헤어오일","HairOil","sku_category_163"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","헤어퍼퓸","Hair Perfume","sku_category_162"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","소용량향수","Miniature Perfume","sku_category_160"
"바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","디스커버리세트","Travel-Size Perfume","sku_category_161"
"스킨케어","Skincare","선케어","Suncare","선스프레이","Sun Spray","sku_category_75"
"스킨케어","Skincare","선케어","Suncare","선패치","Sun Patch","sku_category_79"
