"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"olive_young_000029","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디워시","Body Wash","sku_category_94"
"naver_000060","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디워시","Body Wash","sku_category_94"
"olive_young_000122","스킨케어","Skincare","멘즈케어","Men","바디워시(멘즈)","Body Wash(Men)","sku_category_93"
"olive_young_000048","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디케어 세트","Bodycare Set","sku_category_92"
"naver_000076","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디케어 세트","Bodycare Set","sku_category_92"
"naver_000065","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디크림","Body Cream","sku_category_91"
"olive_young_000040","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","바디크림","Body Cream","sku_category_91"
"olive_young_000181","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","발세정용품","Foot Wash","sku_category_90"
"naver_000052","메이크업","Makeup","메이크업 세트","Makeup Set","베이스 메이크업 세트","Base Makeup Set","sku_category_89"
"olive_young_000110","스킨케어","Skincare","멘즈케어","Men","베이스메이크업(멘즈)","Base Makeup(Men)","sku_category_88"
"olive_young_000171","메이크업","Makeup","네일","Nail","베이스ㆍ탑코트","BaseㆍTop Coat","sku_category_87"
"olive_young_000042","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","보습ㆍ진정미스트","Moisturizing Mist","sku_category_86"
"naver_000049","메이크업","Makeup","베이스 메이크업","Base Makeup","블러셔ㆍ치크","BlusherㆍCheek","sku_category_85"
"olive_young_000015","메이크업","Makeup","베이스 메이크업","Base Makeup","블러셔ㆍ치크","BlusherㆍCheek","sku_category_85"
"naver_000063","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","비누","Soap","sku_category_84"
"olive_young_000032","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","비누","Soap","sku_category_84"
"naver_000053","메이크업","Makeup","메이크업 세트","Makeup Set","색조 메이크업 세트","Color Makeup Set","sku_category_83"
"naver_000071","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","샤워코롱","Shower Cologne","sku_category_82"
"olive_young_000065","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","샴푸","Shampoo","sku_category_81"
"naver_000077","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","샴푸","Shampoo","sku_category_81"
"olive_young_000168","스킨케어","Skincare","선케어","Suncare","선스틱","Sun Stick","sku_category_74"
